"id" "exp" "session" "PL" "sigma" "posu" "STD" "STD_se" "alpha" "alpha_se" "id.1" "ideal_gain" "ideal_gain_R" "observed_gain" "observed_gain_se" "observed_sd" "STD_R" "STD_se.1" "Lshp" "Lshp_se" "alpha_R" "alpha_se_R"
"2_21" "ks" "exp1" "small" 57 0.9 2 0.102894298665896 0.00667361949252541 0.927803214040807 0.00939571400199058 "ks_exp1" 0.897555779938471 0.897548050516225 0.909819522903748 0.0113183151296169 0.108756650699163 0.102898844347956 0.00667372030236043 10 1.00574688707521e-07 0.927770921124314 0.00939726843634034
"2_31" "ks" "exp1" "small" 50 1.5 3 0.118692540229429 0.00763963690048342 0.927803214040807 0.00939571400199058 "ks_exp1" 0.881826643432221 0.881818278985276 0.89882426405143 0.0135318285757897 0.126431851240355 0.118688919819233 0.00763819529172882 10 1.00574688707521e-07 0.927770921124314 0.00939726843634034
"1_12" "ch" "exp1" "large" 146 0.3 1 0.0683542583669072 0.00419358265929377 0.946813889129779 0.00750902146182488 "ch_exp1" 0.923696853157445 0.93156771397409 0.938398163070495 0.00764155181293447 0.0750734715200219 0.0713011916225574 0.0046467331888912 0.380082417001591 0.139989208672777 0.906698809730403 0.0317669736409547
"1_22" "ch" "exp1" "large" 57 0.9 2 0.104110180997 0.00620308589855571 0.946813889129779 0.00750902146182488 "ch_exp1" 0.883782885737018 0.884679589293937 0.866424744394088 0.00908145968522969 0.0927775335547314 0.108261339378252 0.0063055475449368 0.380082417001591 0.139989208672777 0.906698809730403 0.0317669736409547
"1_32" "ch" "exp1" "large" 50 1.5 3 0.138625833160293 0.00874123622667855 0.946813889129779 0.00750902146182488 "ch_exp1" 0.845253425402771 0.843912958039408 0.858505592105655 0.0160378292835301 0.14607483129721 0.133717992323664 0.00753303872471188 0.380082417001591 0.139989208672777 0.906698809730403 0.0317669736409547
"2_12" "ch" "exp1" "small" 146 0.3 1 0.0821086988904989 0.00506325391238567 0.946813889129779 0.00750902146182488 "ch_exp1" 0.908342913695311 0.914653789672639 0.911450631793749 0.00884160623632694 0.0842287208583146 0.0858101900626955 0.00553916267553779 0.380082417001591 0.139989208672777 0.906698809730403 0.0317669736409547
"2_22" "ch" "exp1" "small" 57 0.9 2 0.162723126537026 0.0101244747463679 0.946813889129779 0.00750902146182488 "ch_exp1" 0.818353867152599 0.806827068999243 0.813782770937706 0.0178530473957722 0.161013881288718 0.153452758339504 0.00894100556378297 0.380082417001591 0.139989208672777 0.906698809730403 0.0317669736409547
"2_32" "ch" "exp1" "small" 50 1.5 3 0.177366337753784 0.0107325344538508 0.946813889129779 0.00750902146182488 "ch_exp1" 0.802007802767696 0.780670216580959 0.774025267240617 0.0167255685284243 0.159421602042443 0.165996870531294 0.00979193047309094 0.380082417001591 0.139989208672777 0.906698809730403 0.0317669736409547
"1_13" "ej" "exp1" "large" 146 0.3 1 0.108941860444606 0.00753593536277703 0.817143818894695 0.0175680842123262 "ej_exp1" 0.935465519499053 0.941549328319072 0.952480529172875 0.0115469036776726 0.113194428887423 0.10718569755963 0.0061166175759584 0.0639266069249308 NA 0.573765019790663 NA
"1_23" "ej" "exp1" "large" 57 0.9 2 0.0918656813863815 0.00622858602028791 0.817143818894695 0.0175680842123262 "ej_exp1" 0.945581026940552 0.953944959322735 0.950124308352924 0.00959439426729987 0.0935735901981004 0.0949302593104406 NA 0.0639266069249308 NA 0.573765019790663 NA
