t	c_test	sig1	sig2	sig3	alpha	L1	L00	L_R	MSE1	MSE00	MSE_R	sig1R	sig2R	sig3R	alphaR	lhspR	id
3	4	0.0698945112253194	0.0666029082354655	0.084059930214411	0.13	57.6748919398993	-2.40621767576782	57.6639280985022	1.09207954060035	3.1228210456099	1.09245011843957	0.0698965755385304	0.066607197911859	0.0840551518918635	0.0841132000648771	0.13	jm_exp1
4	1	0.13	0.0728030359683976	0.0931481475283206	0.0887602112643719	92.5592110582711	-12076.5423755465	92.5566708664672	0.00103813547467172	411.316671762714	0.00112399395764226	0.13	0.0728422290360415	0.0932186594937449	0.0841507799888307	0.0886768387603713	jm_exp1
5	3	0.0765166183776529	0.0753106779624047	0.13	0.0872505075182418	87.3835822367863	-125.68785214693	87.3979013436806	0.268136855100259	7.46995133726987	0.267652869287233	0.076531869983398	0.0753341487717483	0.13	0.084197042226225	0.0872241160060386	jm_exp1
6	2	0.0758221595753397	0.13	0.0954956132467992	0.0877997418149956	96.2789414529526	-10568.739394321	96.2908661397127	0.0380232506216995	360.515642999782	0.0376201962092054	0.0758315181431699	0.13	0.0955361090453553	0.0841820479279672	0.0877650502762692	jm_exp1
1	1	0.13	0.153580054160831	0.198912897320968	0.174692169632771	5.98495006025204	12.2366759893153	11.648934132219	0.218104573907165	0.00679623750482823	0.0266619122746818	0.13	0.159342847895698	0.191854900140109	0.189364827228086	0.173289039043303	ck_exp1
2	3	0.165685502826678	0.164219311746846	0.13	0.18648573855809	-30.245743733031	-17660.8137047096	-49.05225043136	0.916713487480473	596.829910568488	1.55237341388399	0.157715942625875	0.170361904691514	0.13	0.201466008435423	0.184590137972902	ck_exp1
3	2	0.165220696884549	0.13	0.212168280002011	0.185740092861128	29.3156213326335	-13464.8404160006	17.5860158680679	0.178022010541217	456.280496072404	0.574482675243535	0.159571881964339	0.13	0.205581432145067	0.204096904940794	0.186173051853765	ck_exp1
4	4	0.164675550280639	0.16275231797655	0.211110776176732	0.13	3.24852164231359	-4329.63473645815	-10.7962190085376	0.321194625374959	146.772648749171	0.795906859373728	0.158040013102292	0.169846640470901	0.203754679331602	0.201601021716163	0.13	ck_exp1
5	5	0.167297308322593	0.166584012085684	0.21621620713874	0.189106167373837	-22.3607752535395	-847.973588545176	-44.059162590995	1.37807935798912	29.2837924472464	2.11148484999511	0.159886617828919	0.172569731425191	0.207573303055411	0.13	0.187443139075729	ck_exp1
6	6	0.16434108908342	0.162265627703782	0.210465764719345	0.184323531002603	0	0	0	0	0	0	0.160076487495374	0.165676793034085	0.206723360119667	0.202228754614576	0.182678909253581	ck_exp1
1	2	0.181127808383985	0.13	0.158425990669226	0.212673327995446	42.9860679561523	-45515.1426125319	42.983627562314	0.144112338760315	1540.00886173926	0.144194824072048	0.181136245998083	0.13	0.158431997764018	0.156427009311812	0.212661392509494	st_exp1
2	1	0.13	0.131786273077415	0.157961981777157	0.212437646592715	13.2108460382567	20.279858630931	13.206532306107	0.298597415346154	0.0596647897137649	0.298743219492814	0.13	0.131793225716435	0.157969460052061	0.15634896507129	0.212427466156165	st_exp1
3	3	0.179876186937673	0.13122711107812	0.13	0.212149938357598	27.3995388696558	30.9704401533752	27.3966767813316	0.121146618119525	0.000450154729809526	0.121243356704884	0.179884708851259	0.131232344934888	0.13	0.156250327897635	0.212139973488563	st_exp1
4	4	0.174602914211426	0.126943043372706	0.153049387612827	0.13	-24.6905419769574	-117.693798709118	-24.6900066611553	0.0287220096424823	3.1722320871895	0.0287039159683741	0.174601287743993	0.126953348023556	0.153050096283085	0.155519315682921	0.13	st_exp1
5	5	0.172659695881792	0.125375438255381	0.151449168377511	0.209082596663519	28.4747222329562	17.8369401176355	28.4820189883469	0.251662118124393	0.611219153622233	0.251415487792187	0.172668222327262	0.125387030316408	0.151459276832051	0.13	0.209053667426435	st_exp1
6	6	0.177955594644841	0.129664437418791	0.155820892000454	0.211356107563693	0	0	0	0	0	0	0.177968678777453	0.129679166853369	0.155825892227178	0.155990831068852	0.21132925140544	st_exp1
1	4	0.057302228264772	0.0686351433418498	0.0930641208833671	0.13	75.1016312671033	71.3191447633727	75.0960351086722	0.126936657187618	0.254784701013709	0.127125807342587	0.0573019294649618	0.0686330412363276	0.0930558801806417	0.117489557136193	0.13	ml_exp1
