session	block	trial3	side	ecc	tarDur	sigma	soa	tedfTOn	tedfSac	tedfTOf	PeakLum	sacRT	sacOnset	sacOffset	sacDur	sacVPeak	sacDist	sacxOnset	sacyOnset	sacxOffset	sacyOffset	errorChange	largerAmp	blink	id	id_n	plf	sacXresp	gain	tarX	tarX_s	sacXresp_s	sacErr	session_number
small	3	18	-1	10	0.8	0.300000598707988	0.53	534	729	1351	145.9493	183	183	242	60	536.8969	9.9281	-0.272314928620873	-0.583330769275677	-9.22821492862087	0.0660692307243228	-8.9792	1	0	ml	0	146	9.19506360434912	0.919506360434912	10	-10	-8.9559	0.774607861857979	1
small	3	19	1	8	0.8	0.90937556752528	0.51	517	746	1334	57.34494	219	219	270	52	552.5395	8.2367	1.02023617986708	-0.604648213755695	8.17353617986708	-0.0413482137556953	-6.3937	0	0	ml	0	57	8.21321545438889	1.02665193179861	8	8	7.1533	0.178394171719949	1
small	3	20	1	7	0.8	1.51875053634257	0.56	567	811	1384	50.44071	234	234	286	53	507.6267	8.132	0.689487074511988	-0.574960145915713	7.79938707451199	0.181239854084287	-4.759	0	0	ml	0	50	7.90189571954782	1.12884224564969	7	7	7.1099	0.819675289126937	1
small	3	21	-1	9	0.8	1.51875053634257	0.6	600	854	1418	50.44071	243	243	301	59	485.9397	9.3609	-0.434162243791409	-0.600166588819832	-8.69966224379141	-0.0593665888198317	-8.0304	0	0	ml	0	50	8.67222746826146	0.963580829806829	9	-9	-8.2655	0.306148917477287	1
small	4	1	1	9	0.8	1.51875053634257	0.72	734	964	1551	50.44071	220	220	276	57	544.9027	9.8212	1.51968822584789	-0.475567565435648	10.1783882258479	0.185832434564352	-6.592	0	0	ml	0	50	10.4345433365023	1.15939370405581	9	9	8.6587	1.19295117442125	1
small	4	2	-1	10	0.8	0.300000598707988	0.76	768	957	1585	145.9493	177	177	236	60	541.5644	10.4871	-0.828061515682859	-0.405463098634662	-10.1872615156829	0.300736901365338	-9.0628	0	0	ml	0	146	10.1908775139102	1.01908775139102	10	-10	-9.3592	0.354273283072075	1
small	4	3	-1	8	0.8	0.90937556752528	0.57	584	823	1401	57.34494	227	227	284	58	523.1438	8.4952	-0.948311467500086	-0.735453211192676	-8.45401146750009	-0.139853211192676	-7.1378	0	0	ml	0	57	8.50070785435189	1.06258848179399	8	-8	-7.5057	0.475063504494383	1
small	4	4	-1	9	0.8	1.51875053634257	0.7	717	973	1534	50.44071	243	243	274	32	475.0945	8.0767	-0.880961628723935	-0.510237925790196	-7.78786162872393	-0.0615379257901965	-6.9211	0	0	ml	0	50	7.64516843153894	0.849463159059883	9	-9	-6.9069	1.21369944691029	1
small	4	5	1	9	0.8	0.300000598707988	0.72	733	928	1551	145.9493	185	185	240	56	529.5481	9.5644	0.907588001521772	-0.207917265012832	9.39488800152177	0.568082734987168	-7.5241	0	0	ml	0	146	9.45297378907507	1.05033042100834	9	9	8.4873	0.691848630508409	1
small	4	6	-1	10	0.8	0.90937556752528	0.72	734	940	1552	57.34494	193	193	254	62	520.1676	10.54	-0.281762575890453	-0.0576912513516901	-10.0762625758905	0.35410874864831	-9.1307	0	0	ml	0	57	10.0662898252826	1.00662898252826	10	-10	-9.7945	0.36222781001839	1
small	4	7	1	10	0.8	0.300000598707988	0.67	684	902	1501	145.9493	206	206	252	47	515.8012	10.3304	0.962486639908252	-0.103259907203775	10.6787866399083	0.790940092796225	-8.3565	1	0	ml	0	146	10.7650291386913	1.07650291386913	10	10	9.7163	1.0422751713969	1
small	4	8	1	8	0.8	0.90937556752528	0.53	534	776	1352	57.34494	232	232	283	52	517.3306	8.287	0.848735649783113	-0.130923254872378	8.16943564978311	0.397776745127622	-6.8659	0	0	ml	0	57	8.20292453358732	1.02536556669841	8	8	7.3207	0.432359547577882	1
small	4	9	-1	10	0.8	0.300000598707988	0.71	717	930	1534	145.9493	201	201	260	60	493.4971	9.7841	-0.610915545404264	0.124518683432527	-9.53021554540426	0.582918683432527	-8.8257	0	0	ml	0	146	9.48791047475188	0.948791047475188	10	-10	-8.9193	0.748659886246434	1
small	4	10	1	10	0.8	0.90937556752528	0.74	750	966	1567	57.34494	205	205	250	46	505.2669	10.5366	0.641933055204122	0.0935658855938971	10.3819330552041	0.673665885593897	-8.6628	0	0	ml	0	57	10.4210132135024	1.04210132135024	10	10	9.74	0.774402081654333	1
small	4	11	-1	6	0.8	1.51875053634257	0.7	717	1010	1534	50.44071	281	281	318	38	398.1382	4.5813	-0.627018547537318	0.193918329587228	-4.77991854753732	0.358018329587228	-4.1551	0	0	ml	0	50	4.6276163060637	0.77126938434395	6	-6	-4.1529	1.27152501940146	1
small	4	12	1	8	0.8	0.90937556752528	0.54	551	801	1368	57.34494	238	238	279	42	469.6763	6.9977	0.843729647222253	0.184975993480168	7.34792964722225	0.589775993480169	-6.4624	0	0	ml	0	57	7.28272309931699	0.910340387414623	8	8	6.5042	0.879222080851713	1
small	4	13	-1	8	0.8	1.51875053634257	0.64	651	930	1468	50.44071	268	268	320	53	478.9615	7.2894	-0.843922359669891	-0.0605611445678657	-7.15382235966989	0.182838855432134	-6.3109	0	0	ml	0	50	7.04279037321242	0.880348796651552	8	-8	-6.3099	0.865705865782579	1
